year,category,name,film,result
1963,Actress,Bette Davis,What Ever Happened to Baby Jane?,Nominee
1963,Actress,Katharine Hepburn,Long Day's Journey into Night,Nominee
1963,Actress,Geraldine Page,Sweet Bird of Youth,Nominee
1963,Actress,Lee Remick,Days of Wine and Roses,Nominee
1963,Directing,David Lean,Lawrence of Arabia,Winner
1963,Directing,Frank Perry,David and Lisa,Nominee
1963,Directing,Pietro Germi,Divorce--Italian Style,Nominee
1963,Directing,Arthur Penn,The Miracle Worker,Nominee
1963,Directing,Robert Mulligan,To Kill a Mockingbird,Nominee
1964,Actor,Sidney Poitier,Lilies of the Field,Winner
1964,Actor,Albert Finney,Tom Jones,Nominee
1964,Actor,Richard Harris,This Sporting Life,Nominee
1964,Actor,Rex Harrison,Cleopatra,Nominee
1964,Actor,Paul Newman,Hud,Nominee
1964,Actress,Patricia Neal,Hud,Winner
1964,Actress,Leslie Caron,The L-Shaped Room,Nominee
1964,Actress,Shirley MacLaine,Irma La Douce,Nominee
1964,Actress,Rachel Roberts,This Sporting Life,Nominee
1964,Actress,Natalie Wood,Love with the Proper Stranger,Nominee
1964,Directing,Tony Richardson,Tom Jones,Winner
1964,Directing,Elia Kazan,America America,Nominee
1964,Directing,Otto Preminger,The Cardinal,Nominee
1964,Directing,Federico Fellini,Federico Fellini's 8-1/2,Nominee
1964,Directing,Martin Ritt,Hud,Nominee
1965,Actor,Rex Harrison,My Fair Lady,Winner
1965,Actor,Richard Burton,Becket,Nominee
1965,Actor,Peter O'Toole,Becket,Nominee
1965,Actor,Anthony Quinn,Zorba the Greek,Nominee
1965,Actor,Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Nominee
1965,Actress,Julie Andrews,Mary Poppins,Winner
1965,Actress,Anne Bancroft,The Pumpkin Eater,Nominee
1965,Actress,Sophia Loren,Marriage Italian Style,Nominee
1965,Actress,Debbie Reynolds,The Unsinkable Molly Brown,Nominee
1965,Actress,Kim Stanley,Seance on a Wet Afternoon,Nominee
1965,Directing,George Cukor,My Fair Lady,Winner
1965,Directing,Peter Glenville,Becket,Nominee
1965,Directing,Stanley Kubrick,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Nominee
1965,Directing,Robert Stevenson,Mary Poppins,Nominee
1965,Directing,Michael Cacoyannis,Zorba the Greek,Nominee
1966,Actor,Lee Marvin,Cat Ballou,Winner
1966,Actor,Richard Burton,The Spy Who Came In from the Cold,Nominee
1966,Actor,Laurence Olivier,Othello,Nominee
1966,Actor,Rod Steiger,The Pawnbroker,Nominee
1966,Actor,Oskar Werner,Ship of Fools,Nominee
1966,Actress,Julie Christie,Darling,Winner
1966,Actress,Julie Andrews,The Sound of Music,Nominee
1966,Actress,Samantha Eggar,The Collector,Nominee
1966,Actress,Elizabeth Hartman,A Patch of Blue,Nominee
1966,Actress,Simone Signoret,Ship of Fools,Nominee
1966,Directing,Robert Wise,The Sound of Music,Winner
1966,Directing,William Wyler,The Collector,Nominee
1966,Directing,John Schlesinger,Darling,Nominee
1966,Directing,David Lean,Doctor Zhivago,Nominee
1966,Directing,Hiroshi Teshigahara,Woman in the Dunes,Nominee
1967,Actor,Paul Scofield,A Man for All Seasons,Winner
1967,Actor,Alan Arkin,The Russians Are Coming The Russians Are Coming,Nominee
1967,Actor,Richard Burton,Who's Afraid of Virginia Woolf?,Nominee
1967,Actor,Michael Caine,Alfie,Nominee
1967,Actor,Steve McQueen,The Sand Pebbles,Nominee
1967,Actress,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,Winner
1967,Actress,Anouk Aimee,A Man and a Woman,Nominee
1967,Actress,Ida Kaminska,The Shop on Main Street,Nominee
1967,Actress,Lynn Redgrave,Georgy Girl,Nominee
1967,Actress,Vanessa Redgrave,Morgan!,Nominee
1967,Directing,Fred Zinnemann,A Man for All Seasons,Winner
1967,Directing,Michelangelo Antonioni,Blow-Up,Nominee
1967,Directing,Claude Lelouch,A Man and a Woman,Nominee
1967,Directing,Richard Brooks,The Professionals,Nominee
1967,Directing,Mike Nichols,Who's Afraid of Virginia Woolf?,Nominee
1968,Actor,Rod Steiger,In the Heat of the Night,Winner
1968,Actor,Warren Beatty,Bonnie and Clyde,Nominee
1968,Actor,Dustin Hoffman,The Graduate,Nominee
1968,Actor,Paul Newman,Cool Hand Luke,Nominee
1968,Actor,Spencer Tracy,Guess Who's Coming to Dinner,Nominee
1968,Actress,Katharine Hepburn,Guess Who's Coming to Dinner,Winner
1968,Actress,Anne Bancroft,The Graduate,Nominee
1968,Actress,Faye Dunaway,Bonnie and Clyde,Nominee
1968,Actress,Dame Edith Evans,The Whisperers,Nominee
1968,Actress,Audrey Hepburn,Wait until Dark,Nominee
1968,Directing,Mike Nichols,The Graduate,Winner
1968,Directing,Arthur Penn,Bonnie and Clyde,Nominee
1968,Directing,Stanley Kramer,Guess Who's Coming to Dinner,Nominee
1968,Directing,Richard Brooks,In Cold Blood,Nominee
1968,Directing,Norman Jewison,In the Heat of the Night,Nominee
1969,Actor,Cliff Robertson,Charly,Winner
1969,Actor,Alan Arkin,The Heart Is a Lonely Hunter,Nominee
1969,Actor,Alan Bates,The Fixer,Nominee
1969,Actor,Ron Moody,Oliver!,Nominee
1969,Actor,Peter O'Toole,The Lion in Winter,Nominee
1969,Actress,Katharine Hepburn,The Lion in Winter,Tie-winner
1969,Actress,Barbra Streisand,The Lion in Winter,Tie-winner
1969,Actress,Patricia Neal,The Subject Was Roses,Nominee
1969,Actress,Vanessa Redgrave,Isadora,Nominee
1969,Actress,Joanne Woodward,"Rachel, Rachel",Nominee
1969,Directing,Carol Reed,Oliver!,Winner
1969,Directing,Gillo Pontecorvo,The Battle of Algiers,Nominee
1969,Directing,Anthony Harvey,The Lion in Winter,Nominee
1969,Directing,Franco Zeffirelli,Romeo and Juliet,Nominee
1969,Directing,Stanley Kubrick,2001: A Space Odyssey,Nominee
1970,Actor,John Wayne,True Grit,Winner
1970,Actor,Richard Burton,Anne of the Thousand Days,Nominee
1970,Actor,Dustin Hoffman,Midnight Cowboy,Nominee
1970,Actor,Peter O'Toole,"Goodbye, Mr. Chips",Nominee
1970,Actor,Jon Voight,Midnight Cowboy,Nominee
1970,Actress,Maggie Smith,The Prime of Miss Jean Brodie,Winner
1970,Actress,Genevieve Bujold,Anne of the Thousand Days,Nominee
1970,Actress,Jane Fonda,"They Shoot Horses, Don't They?",Nominee
1970,Actress,Liza Minnelli,The Sterile Cuckoo,Nominee
1970,Actress,Jean Simmons,The Happy Ending,Nominee
1970,Directing,John Schlesinger,Midnight Cowboy,Winner
1970,Directing,Arthur Penn,Alice's Restaurant,Nominee
1970,Directing,George Roy Hill,Butch Cassidy and the Sundance Kid,Nominee
1970,Directing,Sydney Pollack,"They Shoot Horses, Don't They?",Nominee
1970,Directing,Costa-Gavras,Z,Nominee
1971,Actor,George C. Scott,Patton,Winner
1971,Actor,Melvyn Douglas,I Never Sang for My Father,Nominee
1971,Actor,James Earl Jones,The Great White Hope,Nominee
1971,Actor,Jack Nicholson,Five Easy Pieces,Nominee
1971,Actor,Ryan O'Neal,Love Story,Nominee
1971,Actress,Glenda Jackson,Women in Love,Winner
1971,Actress,Jane Alexander,The Great White Hope,Nominee
1971,Actress,Ali MacGraw,Love Story,Nominee
1971,Actress,Sarah Miles,Ryan's Daughter,Nominee
1971,Actress,Carrie Snodgress,Diary of a Mad Housewife,Nominee
1971,Directing,Franklin J. Schaffner,Patton,Winner
1971,Directing,Federico Fellini,Fellini Satyricon,Nominee
1971,Directing,Arthur Hiller,Love Story,Nominee
1971,Directing,Robert Altman,M*A*S*H,Nominee
1971,Directing,Ken Russell,Women in Love,Nominee
1972,Actor,Gene Hackman,The French Connection,Winner
1972,Actor,Peter Finch,Sunday Bloody Sunday,Nominee
1972,Actor,Walter Matthau,Kotch,Nominee
1972,Actor,George C. Scott,The Hospital,Nominee
1972,Actor,Topol,Fiddler on the Roof,Nominee
1972,Actress,Jane Fonda,Klute,Winner
1972,Actress,Julie Christie,McCabe & Mrs. Miller,Nominee
1972,Actress,Glenda Jackson,Sunday Bloody Sunday,Nominee
1972,Actress,Vanessa Redgrave,"Mary, Queen of Scots",Nominee
1972,Actress,Janet Suzman,Nicholas and Alexandra,Nominee
1972,Directing,William Friedkin,The French Connection,Winner
1972,Directing,Stanley Kubrick,A Clockwork Orange,Nominee
1972,Directing,Norman Jewison,Fiddler on the Roof,Nominee
1972,Directing,Peter Bogdanovich,The Last Picture Show,Nominee
1972,Directing,John Schlesinger,Sunday Bloody Sunday,Nominee
1973,Actor,Marlon Brando,The Godfather,Winner
1973,Actor,Michael Caine,Sleuth,Nominee
1973,Actor,Laurence Olivier,Sleuth,Nominee
1973,Actor,Peter O'Toole,The Ruling Class,Nominee
1973,Actor,Paul Winfield,Sounder,Nominee
1973,Actress,Liza Minnelli,Cabaret,Winner
1973,Actress,Diana Ross,Lady Sings the Blues,Nominee
1973,Actress,Maggie Smith,Travels with My Aunt,Nominee
1973,Actress,Cicely Tyson,Sounder,Nominee
1973,Actress,Liv Ullmann,The Emigrants,Nominee
1973,Directing,Bob Fosse,Cabaret,Winner
1973,Directing,John Boorman,Deliverance,Nominee
1973,Directing,Jan Troell,The Emigrants,Nominee
1973,Directing,Francis Ford Coppola,The Godfather,Nominee
1973,Directing,Joseph L. Mankiewicz,Sleuth,Nominee
1974,Actor,Jack Lemmon,Save the Tiger,Winner
1974,Actor,Marlon Brando,Last Tango in Paris,Nominee
1974,Actor,Jack Nicholson,The Last Detail,Nominee
1974,Actor,Al Pacino,Serpico,Nominee
1974,Actor,Robert Redford,The Sting,Nominee
1974,Actress,Glenda Jackson,A Touch of Class,Winner
1974,Actress,Ellen Burstyn,The Exorcist,Nominee
1974,Actress,Marsha Mason,Cinderella Liberty,Nominee
1974,Actress,Barbra Streisand,The Way We Were,Nominee
1974,Actress,Joanne Woodward,"Summer Wishes, Winter Dreams",Nominee
1974,Directing,George Roy Hill,The Sting,Winner
1974,Directing,George Lucas,American Graffiti,Nominee
1974,Directing,Ingmar Bergman,Cries and Whispers,Nominee
1974,Directing,William Friedkin,The Exorcist,Nominee
1974,Directing,Bernardo Bertolucci,Last Tango in Paris,Nominee
1975,Actor,Art Carney,Harry and Tonto,Winner
1975,Actor,Albert Finney,Murder on the Orient Express,Nominee
1975,Actor,Dustin Hoffman,Lenny,Nominee
1975,Actor,Jack Nicholson,Chinatown,Nominee
1975,Actor,Al Pacino,The Godfather Part II,Nominee
1975,Actress,Ellen Burstyn,Alice Doesn't Live Here Anymore,Winner
1975,Actress,Diahann Carroll,Claudine,Nominee
1975,Actress,Faye Dunaway,Chinatown,Nominee
1975,Actress,Valerie Perrine,Lenny,Nominee
1975,Actress,Gena Rowlands,A Woman under the Influence,Nominee
1975,Directing,Francis Ford Coppola,The Godfather Part II,Winner
1975,Directing,Roman Polanski,Chinatown,Nominee
1975,Directing,Francois Truffaut,Day for Night,Nominee
1975,Directing,Bob Fosse,Lenny,Nominee
1975,Directing,John Cassavetes,A Woman under the Influence,Nominee
1976,Actor,Jack Nicholson,One Flew over the Cuckoo's Nest,Winner
1976,Actor,Walter Matthau,The Sunshine Boys,Nominee
1976,Actor,Al Pacino,Dog Day Afternoon,Nominee
1976,Actor,Maximilian Schell,The Man in the Glass Booth,Nominee
1976,Actor,James Whitmore,"Give 'em Hell, Harry!",Nominee
1976,Actress,Louise Fletcher,One Flew over the Cuckoo's Nest,Winner
1976,Actress,Isabelle Adjani,The Story of Adele H.,Nominee
1976,Actress,Ann-Margret,Tommy,Nominee
1976,Actress,Glenda Jackson,Hedda,Nominee
1976,Actress,Carol Kane,Hester Street,Nominee
1976,Directing,Milos Forman,One Flew over the Cuckoo's Nest,Winner
1976,Directing,Federico Fellini,Amarcord,Nominee
1976,Directing,Stanley Kubrick,Barry Lyndon,Nominee
1976,Directing,Sidney Lumet,Dog Day Afternoon,Nominee
1976,Directing,Robert Altman,Nashville,Nominee
1977,Actor in a Leading Role,Peter Finch,Network,Winner
1977,Actor in a Leading Role,Robert De Niro,Taxi Driver,Nominee
1977,Actor in a Leading Role,Giancarlo Giannini,Seven Beauties,Nominee
1977,Actor in a Leading Role,William Holden,Network,Nominee
1977,Actor in a Leading Role,Sylvester Stallone,Rocky,Nominee
1977,Actress in a Leading Role,Faye Dunaway,Network,Winner
1977,Actress in a Leading Role,Marie-Christine Barrault,"Cousin, Cousine",Nominee
1977,Actress in a Leading Role,Talia Shire,Rocky,Nominee
1977,Actress in a Leading Role,Sissy Spacek,Carrie,Nominee
1977,Actress in a Leading Role,Liv Ullmann,Face to Face,Nominee
1977,Directing,John G. Avildsen,Rocky,Winner
1977,Directing,Alan J. Pakula,All the President's Men,Nominee
1977,Directing,Ingmar Bergman,Face to Face,Nominee
1977,Directing,Sidney Lumet,Network,Nominee
1977,Directing,Lina Wertmuller,Seven Beauties,Nominee
1978,Actor in a Leading Role,Richard Dreyfuss,The Goodbye Girl,Winner
1978,Actor in a Leading Role,Woody Allen,Annie Hall,Nominee
1978,Actor in a Leading Role,Richard Burton,Equus,Nominee
1978,Actor in a Leading Role,Marcello Mastroianni,A Special Day,Nominee
1978,Actor in a Leading Role,John Travolta,Saturday Night Fever,Nominee
1978,Actress in a Leading Role,Diane Keaton,Annie Hall,Winner
1978,Actress in a Leading Role,Anne Bancroft,The Turning Point,Nominee
1978,Actress in a Leading Role,Jane Fonda,Julia,Nominee
1978,Actress in a Leading Role,Shirley MacLaine,The Turning Point,Nominee
1978,Actress in a Leading Role,Marsha Mason,The Goodbye Girl,Nominee
1978,Directing,Woody Allen,Annie Hall,Winner
1978,Directing,Steven Spielberg,Close Encounters of the Third Kind,Nominee
1978,Directing,Fred Zinnemann,Julia,Nominee
1978,Directing,George Lucas,Star Wars,Nominee
1978,Directing,Herbert Ross,The Turning Point,Nominee
1979,Actor in a Leading Role,Jon Voight,Coming Home,Winner
1979,Actor in a Leading Role,Warren Beatty,Heaven Can Wait,Nominee
1979,Actor in a Leading Role,Gary Busey,The Buddy Holly Story,Nominee
1979,Actor in a Leading Role,Robert De Niro,The Deer Hunter,Nominee
1979,Actor in a Leading Role,Laurence Olivier,The Boys from Brazil,Nominee
1979,Actress in a Leading Role,Jane Fonda,Coming Home,Winner
1979,Actress in a Leading Role,Ingrid Bergman,Autumn Sonata,Nominee
1979,Actress in a Leading Role,Ellen Burstyn,"Same Time, Next Year",Nominee
1979,Actress in a Leading Role,Jill Clayburgh,An Unmarried Woman,Nominee
1979,Actress in a Leading Role,Geraldine Page,Interiors,Nominee
1979,Directing,Michael Cimino,The Deer Hunter,Winner
1979,Directing,Hal Ashby,Coming Home,Nominee
1979,Directing,"Warren Beatty, Buck Henry",Heaven Can Wait,Nominee
1979,Directing,Woody Allen,Interiors,Nominee
1979,Directing,Alan Parker,Midnight Express,Nominee
1980,Actor in a Leading Role,Dustin Hoffman,Kramer vs. Kramer,Winner
1980,Actor in a Leading Role,Jack Lemmon,The China Syndrome,Nominee
1980,Actor in a Leading Role,Al Pacino,...And Justice for All,Nominee
1980,Actor in a Leading Role,Roy Scheider,All That Jazz,Nominee
1980,Actor in a Leading Role,Peter Sellers,Being There,Nominee
1980,Actress in a Leading Role,Sally Field,Norma Rae,Winner
1980,Actress in a Leading Role,Jill Clayburgh,Starting Over,Nominee
1980,Actress in a Leading Role,Jane Fonda,The China Syndrome,Nominee
1980,Actress in a Leading Role,Marsha Mason,Chapter Two,Nominee
1980,Actress in a Leading Role,Bette Midler,The Rose,Nominee
1980,Directing,Robert Benton,Kramer vs. Kramer,Winner
1980,Directing,Bob Fosse,All That Jazz,Nominee
1980,Directing,Francis Coppola,Apocalypse Now,Nominee
1980,Directing,Peter Yates,Breaking Away,Nominee
1980,Directing,Edouard Molinaro,La Cage aux Folles,Nominee
1981,Actor in a Leading Role,Robert De Niro,Raging Bull,Winner
1981,Actor in a Leading Role,Robert Duvall,The Great Santini,Nominee
1981,Actor in a Leading Role,John Hurt,The Elephant Man,Nominee
1981,Actor in a Leading Role,Jack Lemmon,Tribute,Nominee
1981,Actor in a Leading Role,Peter O'Toole,The Stunt Man,Nominee
1981,Actress in a Leading Role,Sissy Spacek,Coal Miner's Daughter,Winner
1981,Actress in a Leading Role,Ellen Burstyn,Resurrection,Nominee
1981,Actress in a Leading Role,Goldie Hawn,Private Benjamin,Nominee
1981,Actress in a Leading Role,Mary Tyler Moore,Ordinary People,Nominee
1981,Actress in a Leading Role,Gena Rowlands,Gloria,Nominee
1981,Directing,Robert Redford,Ordinary People,Winner
1981,Directing,David Lynch,The Elephant Man,Nominee
1981,Directing,Martin Scorsese,Raging Bull,Nominee
1981,Directing,Richard Rush,The Stunt Man,Nominee
1981,Directing,Roman Polanski,Tess,Nominee
1982,Actor in a Leading Role,Henry Fonda,On Golden Pond,Winner
1982,Actor in a Leading Role,Warren Beatty,Reds,Nominee
1982,Actor in a Leading Role,Burt Lancaster,Atlantic City,Nominee
1982,Actor in a Leading Role,Dudley Moore,Arthur,Nominee
1982,Actor in a Leading Role,Paul Newman,Absence of Malice,Nominee
1982,Actress in a Leading Role,Katharine Hepburn,On Golden Pond,Winner
1982,Actress in a Leading Role,Diane Keaton,Reds,Nominee
1982,Actress in a Leading Role,Marsha Mason,Only When I Laugh,Nominee
1982,Actress in a Leading Role,Susan Sarandon,Atlantic City,Nominee
1982,Actress in a Leading Role,Meryl Streep,The French Lieutenant's Woman,Nominee
1982,Directing,Warren Beatty,Reds,Winner
1982,Directing,Louis Malle,Atlantic City,Nominee
1982,Directing,Hugh Hudson,Chariots of Fire,Nominee
1982,Directing,Mark Rydell,On Golden Pond,Nominee
1982,Directing,Steven Spielberg,Raiders of the Lost Ark,Nominee
1983,Actor in a Leading Role,Ben Kingsley,Gandhi,Winner
1983,Actor in a Leading Role,Dustin Hoffman,Tootsie,Nominee
1983,Actor in a Leading Role,Jack Lemmon,Missing,Nominee
1983,Actor in a Leading Role,Paul Newman,The Verdict,Nominee
1983,Actor in a Leading Role,Peter O'Toole,My Favorite Year,Nominee
1983,Actress in a Leading Role,Meryl Streep,Sophie's Choice,Winner
1983,Actress in a Leading Role,Julie Andrews,Victor/Victoria,Nominee
1983,Actress in a Leading Role,Jessica Lange,Frances,Nominee
1983,Actress in a Leading Role,Sissy Spacek,Missing,Nominee
1983,Actress in a Leading Role,Debra Winger,An Officer and a Gentleman,Nominee
1983,Directing,Richard Attenborough,Gandhi,Winner
1983,Directing,Wolfgang Petersen,Das Boot,Nominee
1983,Directing,Steven Spielberg,E.T. The Extra-Terrestrial,Nominee
1983,Directing,Sydney Pollack,Tootsie,Nominee
1983,Directing,Sidney Lumet,The Verdict,Nominee
1984,Actor in a Leading Role,Robert Duvall,Tender Mercies,Winner
1984,Actor in a Leading Role,Michael Caine,Educating Rita,Nominee
1984,Actor in a Leading Role,Tom Conti,"Reuben, Reuben",Nominee
1984,Actor in a Leading Role,Tom Courtenay,The Dresser,Nominee
1984,Actor in a Leading Role,Albert Finney,The Dresser,Nominee
1984,Actress in a Leading Role,Shirley MacLaine,Terms of Endearment,Winner
1984,Actress in a Leading Role,Jane Alexander,Testament,Nominee
1984,Actress in a Leading Role,Meryl Streep,Silkwood,Nominee
1984,Actress in a Leading Role,Julie Walters,Educating Rita,Nominee
1984,Actress in a Leading Role,Debra Winger,Terms of Endearment,Nominee
1984,Directing,James L. Brooks,Terms of Endearment,Winner
1984,Directing,Peter Yates,The Dresser,Nominee
1984,Directing,Ingmar Bergman,Fanny & Alexander,Nominee
1984,Directing,Mike Nichols,Silkwood,Nominee
1984,Directing,Bruce Beresford,Tender Mercies,Nominee
1985,Actor in a Leading Role,F. Murray Abraham,Amadeus,Winner
1985,Actor in a Leading Role,Jeff Bridges,Starman,Nominee
1985,Actor in a Leading Role,Albert Finney,Under the Volcano,Nominee
1985,Actor in a Leading Role,Tom Hulce,Amadeus,Nominee
1985,Actor in a Leading Role,Sam Waterston,The Killing Fields,Nominee
1985,Actress in a Leading Role,Sally Field,Places in the Heart,Winner
1985,Actress in a Leading Role,Judy Davis,A Passage to India,Nominee
1985,Actress in a Leading Role,Jessica Lange,Country,Nominee
1985,Actress in a Leading Role,Vanessa Redgrave,The Bostonians,Nominee
1985,Actress in a Leading Role,Sissy Spacek,The River,Nominee
1985,Directing,Milos Forman,Amadeus,Winner
1985,Directing,Woody Allen,Broadway Danny Rose,Nominee
1985,Directing,The Killing Fields,Roland Joffé,Nominee
1985,Directing,David Lean,A Passage to India,Nominee
1985,Directing,Robert Benton,Places in the Heart,Nominee
1986,Actor in a Leading Role,William Hurt,Kiss of the Spider Woman,Winner
1986,Actor in a Leading Role,Harrison Ford,Witness,Nominee
1986,Actor in a Leading Role,James Garner,Murphy's Romance,Nominee
1986,Actor in a Leading Role,Jack Nicholson,Prizzi's Honor,Nominee
1986,Actor in a Leading Role,Jon Voight,Runaway Train,Nominee
1986,Actress in a Leading Role,Geraldine Page,The Trip to Bountiful,Winner
1986,Actress in a Leading Role,Anne Bancroft,Agnes of God,Nominee
1986,Actress in a Leading Role,Whoopi Goldberg,The Color Purple,Nominee
1986,Actress in a Leading Role,Jessica Lange,Sweet Dreams,Nominee
1986,Actress in a Leading Role,Meryl Streep,Out of Africa,Nominee
1986,Directing,Sydney Pollack,Out of Africa,Winner
1986,Directing,Hector Babenco,Kiss of the Spider Woman,Nominee
1986,Directing,John Huston,Prizzi's Honor,Nominee
1986,Directing,Akira Kurosawa,Ran,Nominee
1986,Directing,Peter Weir,Witness,Nominee
1987,Actor in a Leading Role,Paul Newman,The Color of Money,Winner
1987,Actor in a Leading Role,Dexter Gordon,'Round Midnight,Nominee
1987,Actor in a Leading Role,Bob Hoskins,Mona Lisa,Nominee
1987,Actor in a Leading Role,William Hurt,Children of a Lesser God,Nominee
1987,Actor in a Leading Role,James Woods,Salvador,Nominee
1987,Actress in a Leading Role,Marlee Matlin,Children of a Lesser God,Winner
1987,Actress in a Leading Role,Jane Fonda,The Morning After,Nominee
1987,Actress in a Leading Role,Sissy Spacek,Crimes of the Heart,Nominee
1987,Actress in a Leading Role,Kathleen Turner,Peggy Sue Got Married,Nominee
1987,Actress in a Leading Role,Sigourney Weaver,Aliens,Nominee
1987,Directing,Oliver Stone,Platoon,Winner
1987,Directing,David Lynch,Blue Velvet,Nominee
1987,Directing,Woody Allen,Hannah and Her Sisters,Nominee
1987,Directing,The Mission,The Mission,Nominee
1987,Directing,James Ivory,A Room with a View,Nominee
1988,Actor in a Leading Role,Michael Douglas,Wall Street,Winner
1988,Actor in a Leading Role,William Hurt,Broadcast News,Nominee
1988,Actor in a Leading Role,Marcello Mastroianni,Dark Eyes,Nominee
1988,Actor in a Leading Role,Jack Nicholson,Ironweed,Nominee
1988,Actor in a Leading Role,Robin Williams,"Good Morning, Vietnam",Nominee
1988,Actress in a Leading Role,Cher,Moonstruck,Winner
1988,Actress in a Leading Role,Glenn Close,Fatal Attraction,Nominee
1988,Actress in a Leading Role,Holly Hunter,Broadcast News,Nominee
1988,Actress in a Leading Role,Sally Kirkland,Anna,Nominee
1988,Actress in a Leading Role,Meryl Streep,Ironweed,Nominee
1988,Directing,Bernardo Bertolucci,The Last Emperor,Winner
1988,Directing,Adrian Lyne,Fatal Attraction,Nominee
1988,Directing,John Boorman,Hope and Glory,Nominee
1988,Directing,Norman Jewison,Moonstruck,Nominee
1988,Directing,"""My Life as a Dog"" Lasse Hallström",My Life as a Dog,Nominee
1989,Actor in a Leading Role,Dustin Hoffman,Rain Man,Winner
1989,Actor in a Leading Role,Gene Hackman,Mississippi Burning,Nominee
1989,Actor in a Leading Role,Tom Hanks,Big,Nominee
1989,Actor in a Leading Role,Edward James Olmos,Stand and Deliver,Nominee
1989,Actor in a Leading Role,Max von Sydow,Pelle the Conqueror,Nominee
1989,Actress in a Leading Role,Jodie Foster,The Accused,Winner
1989,Actress in a Leading Role,Glenn Close,Dangerous Liaisons,Nominee
1989,Actress in a Leading Role,Melanie Griffith,Working Girl,Nominee
1989,Actress in a Leading Role,Meryl Streep,A Cry in the Dark,Nominee
1989,Actress in a Leading Role,Sigourney Weaver,Gorillas in the Mist,Nominee
1989,Directing,Barry Levinson,Rain Man,Winner
1989,Directing,Charles Crichton,A Fish Called Wanda,Nominee
1989,Directing,Martin Scorsese,The Last Temptation of Christ,Nominee
1989,Directing,Alan Parker,Mississippi Burning,Nominee
1989,Directing,Mike Nichols,Working Girl,Nominee
1990,Actor in a Leading Role,Daniel Day Lewis,My Left Foot,Winner
1990,Actor in a Leading Role,Kenneth Branagh,Henry V,Nominee
1990,Actor in a Leading Role,Tom Cruise,Born on the Fourth of July,Nominee
1990,Actor in a Leading Role,Morgan Freeman,Driving Miss Daisy,Nominee
1990,Actor in a Leading Role,Robin Williams,Dead Poets Society,Nominee
1990,Actress in a Leading Role,Jessica Tandy,Driving Miss Daisy,Winner
1990,Actress in a Leading Role,Isabelle Adjani,Camille Claudel,Nominee
1990,Actress in a Leading Role,Pauline Collins,Shirley Valentine,Nominee
1990,Actress in a Leading Role,Jessica Lange,Music Box,Nominee
1990,Actress in a Leading Role,Michelle Pfeiffer,The Fabulous Baker Boys,Nominee
1990,Directing,Oliver Stone,Born on the Fourth of July,Winner
1990,Directing,Woody Allen,Crimes and Misdemeanors,Nominee
1990,Directing,Peter Weir,Dead Poets Society,Nominee
1990,Directing,Kenneth Branagh,Henry V,Nominee
1990,Directing,Jim Sheridan,My Left Foot,Nominee
1991,Actor in a Leading Role,Jeremy Irons,Reversal of Fortune,Winner
1991,Actor in a Leading Role,Kevin Costner,Dances With Wolves,Nominee
1991,Actor in a Leading Role,Robert De Niro,Awakenings,Nominee
1991,Actor in a Leading Role,Gerard Depardieu,Cyrano de Bergerac,Nominee
1991,Actor in a Leading Role,Richard Harris,The Field,Nominee
1991,Actress in a Leading Role,Kathy Bates,Misery,Winner
1991,Actress in a Leading Role,Anjelica Huston,The Grifters,Nominee
1991,Actress in a Leading Role,Julia Roberts,Pretty Woman,Nominee
1991,Actress in a Leading Role,Meryl Streep,Postcards from the Edge,Nominee
1991,Actress in a Leading Role,Joanne Woodward,Mr. & Mrs. Bridge,Nominee
1991,Directing,Kevin Costner,Dances With Wolves,Winner
1991,Directing,Francis Ford Coppola,"The Godfather, Part III",Nominee
1991,Directing,Martin Scorsese,Good Fellas,Nominee
1991,Directing,Stephen Frears,The Grifters,Nominee
1991,Directing,Barbet Schroeder,Reversal of Fortune,Nominee
1992,Actor in a Leading Role,Anthony Hopkins,The Silence of the Lambs,Winner
1992,Actor in a Leading Role,Warren Beatty,Bugsy,Nominee
1992,Actor in a Leading Role,Robert De Niro,Cape Fear,Nominee
1992,Actor in a Leading Role,Nick Nolte,The Prince of Tides,Nominee
1992,Actor in a Leading Role,Robin Williams,The Fisher King,Nominee
1992,Actress in a Leading Role,Jodie Foster,The Silence of the Lambs,Winner
1992,Actress in a Leading Role,Geena Davis,Thelma & Louise,Nominee
1992,Actress in a Leading Role,Laura Dern,Rambling Rose,Nominee
1992,Actress in a Leading Role,Bette Midler,For the Boys,Nominee
1992,Actress in a Leading Role,Susan Sarandon,Thelma & Louise,Nominee
1992,Directing,Jonathan Demme,The Silence of the Lambs,Winner
1992,Directing,John Singleton,Boyz N the Hood,Nominee
1992,Directing,Barry Levinson,Bugsy,Nominee
1992,Directing,Oliver Stone,JFK,Nominee
1992,Directing,Ridley Scott,Thelma & Louise,Nominee
1993,Actor in a Leading Role,Al Pacino,Scent of a Woman,Winner
1993,Actor in a Leading Role,Robert Downey Jr.,Chaplin,Nominee
1993,Actor in a Leading Role,Clint Eastwood,Unforgiven,Nominee
1993,Actor in a Leading Role,Stephen Rea,The Crying Game,Nominee
1993,Actor in a Leading Role,Denzel Washington,Malcolm X,Nominee
